OBJECTID_1,ED_ID,ED_ENGLISH,ED_GAEILGE,COUNTY,CONTAE,PROVINCE,CENTROID_X,CENTROID_Y,GUID_,CSOED_3409,OSIED_3441,CSOED_34_1,Shape__Area,Shape__Length
1429,268030,CABRA EAST A, ,DUBLIN,Baile Átha Cliath,Leinster,714197.261891796,736841.748349683,2AE196291D2813A3E055000000000001,02030,268030,Cabra East A,1549123.0826416,6207.45336524946
1430,177037,DRUMCARROW,Droim Chora,MONAGHAN,Muineachán,Ulster,677658.909104547,802561.151819743,2AE196291AF413A3E055000000000001,34012,177037,Drumcarrow,17126653.2286682,19427.4953073076
1431,267150,TEMPLEOGUE-KIMMAGE MANOR, ,DUBLIN,Baile Átha Cliath,Leinster,712812.537877879,729783.816657386,2AE196291CD213A3E055000000000001,03042,267150,Templeogue-Kimmage Manor,1301767.71588135,5293.1980020645
1432,268042,CLONTARF EAST B, ,DUBLIN,Baile Átha Cliath,Leinster,721704.240845164,736381.785101836,2AE196291D4413A3E055000000000001,02038,268042,Clontarf East B,3520363.72070313,11385.9442957343
1433,47277,RATHCOONEY, ,CORK,Corcaigh,Munster,569591.313791345,576844.255526751,2AE19629213713A3E055000000000001,18101,47277,Rathcooney (Part Rural),31402178.7719116,30830.1712843244
1434,177050,KILLYLOUGH,Coill an Locha,MONAGHAN,Muineachán,Ulster,662171.638094818,842216.090308068,2AE196291A7E13A3E055000000000001,34061,177050,Killylough,17589120.6361694,24172.2423106029
1435,87017,CARBURY, ,KILDARE,Cill Dara,Leinster,667698.515408681,734416.354953524,2AE19629227513A3E055000000000001,06044,87017,Carbury,44740493.1671753,38646.6143253216
1436,187082,TEMPLEHARRY,Teampall na hAithrí,OFFALY,Uíbh Fhailí,Leinster,600114.14852546,685389.612345071,2AE196291A7713A3E055000000000001,12057,187082,Templeharry,19935282.760376,24043.6860349201
1437,47020,BALLYARTHUR, ,CORK,Corcaigh,Munster,578401.109728788,615914.277229884,2AE196291F2313A3E055000000000001,18277,47020,Ballyarthur,14059235.2862244,19777.3163360397
1438,127069,FEDAMORE,Feadamair,LIMERICK,Luimneach,Munster,559223.474870722,645795.454753993,2AE19629179B13A3E055000000000001,21015,127069,Fedamore,20202244.4040833,23251.6168605432
1439,247029,CAHORE, ,WEXFORD,Loch Garman,Leinster,719837.116170585,645166.486196807,2AE196291E6F13A3E055000000000001,14047,247029,Cahore,18839138.9128418,19653.2472297929
1440,227080,REISK,An Riasc,WATERFORD,Port Láirge,Munster,652163.128177278,605995.904826591,2AE196291B3D13A3E055000000000001,25082,227080,Reisk,25969809.2288818,30896.8750653646
1441,47029,BALLYHOOLAHAN, ,CORK,Corcaigh,Munster,530330.583628981,603015.837127473,2AE196291F4413A3E055000000000001,18146,47029,Ballyhoolahan,16233489.0473022,19403.221515478
1442,268092,KIMMAGE C, ,DUBLIN,Baile Átha Cliath,Leinster,714180.714366942,731902.783140775,2AE196291D9B13A3E055000000000001,02113,268092,Kimmage C,1023447.14022827,4268.02510187581
1443,167003,ARDCATH, ,MEATH,An Mhí,Leinster,706484.005524962,765206.981754466,2AE19629182413A3E055000000000001,11043,167003,Ardcath,43603996.4631958,37724.6150694556
1444,227043,GLENWILLIAM,Gleann Uilliam,WATERFORD,Port Láirge,Munster,620421.006364135,581789.53757552,2AE196291B5F13A3E055000000000001,25088,227043,Glenwilliam,8952094.2638855,14301.0651103394
1445,268012,BALLYGALL A, ,DUBLIN,Baile Átha Cliath,Leinster,713607.413608968,738590.452496935,2AE196291D0813A3E055000000000001,02011,268012,Ballygall A,520104.664276123,3627.37834314746
1446,47077,CARRIGTOHILL, ,CORK,Corcaigh,Munster,581838.977643051,574586.753821961,2AE196291F6813A3E055000000000001,18249,47077,Carrigtohill,47872460.1583557,34912.6395249116
